Country Name,Country Income Group
Antigua and Barbuda,Hi
Argentina,Hi
Bahamas,Hi
Barbados,Hi
Belize,Up-Mid
Bolivia Plurinational States of ,Low-Mid
Brazil,Up-Mid
Canada,Hi
Chile,Hi
Colombia,Up-Mid
Democratic Republic of the Congo,Low
Costa Rica,Up-Mid
Dominica,Up-Mid
Dominican Republic,Up-Mid
Ecuador,Up-Mid
El Salvador,Low-Mid
Grenada,Up-Mid
Guatemala,Up-Mid
Guyana,Up-Mid
Haiti,Low
Honduras,Low-Mid
Jamaica,Up-Mid
Republic of Korea,Hi
The Republic of North Macedonia,Up-Mid
Mexico,Up-Mid
Republic of Moldova,Low-Mid
Nicaragua,Low-Mid
New Zealand,Hi
Panama,Hi
Paraguay,Up-Mid
Peru,Up-Mid
Papua New Guinea,Low-Mid
Saint Kitts and Nevis,Hi
Saint Lucia,Up-Mid
Saint Vincent and the Grenadines,Up-Mid
Suriname,Up-Mid
United Republic of Tanzania,Low
Trinidad and Tobago,Hi
United Arab Emirates,Hi
United Kingdom,Hi
United States of America,Hi
Uruguay,Hi
Venezuela (Bolivarian Republic of),Up-Mid
Egypt,Low-Mid
Ethiopia,Low
Zimbabwe,Low
Saudi Arabia,Hi
Viet Nam,Low-Mid
Algeria,Up-Mid
Angola,Low-Mid
Benin,Low
Botswana,Up-Mid
Burkina Faso,Low
Burundi,Low
Cameroon,Low-Mid
Cabo Verde Republic of,Low-Mid
Central African Republic,Low
Chad,Low
Comoros,Low
Congo,Low-Mid
Côte d'Ivoire,Low-Mid
Equatorial Guinea,Up-Mid
Estonia,Hi
France,Hi
Gabon,Up-Mid
Germany,Hi
Greece,Hi
Guinea,Low
Kazakhstan,Up-Mid
Lebanon,Up-Mid
Luxembourg,Hi
Madagascar,Low
Maldives,Up-Mid
Marshall Islands,Up-Mid
Mauritania,Low-Mid
Morocco,Low-Mid
Myanmar,Low-Mid
Niger,Low
Russian Federation,Up-Mid
Lesotho,Low-Mid
San Marino,Hi
Serbia,Up-Mid
Seychelles,Hi
Sudan,Low-Mid
Timor-Leste,Low-Mid
Tuvalu,Up-Mid
Zambia,Low-Mid
Afghanistan,Low
Bahrain,Hi
Denmark,Hi
Djibouti,Low-Mid
Indonesia,Low-Mid
Iran,Up-Mid
Japan,Hi
Kiribati,Low-Mid
Latvia,Hi
Liberia,Low
Norway,Hi
Yemen,Low
Oman,Hi
Portugal,Hi
Sao Tome and Principe,Low-Mid
Solomon Islands,Low-Mid
Sri Lanka,Low-Mid
Switzerland,Hi
Tonga,Up-Mid
Ukraine,Low-Mid
Albania,Up-Mid
Andorra,Hi
Armenia,Up-Mid
Austria,Hi
Azerbaijan,Up-Mid
Belarus,Up-Mid
Belgium,Hi
Bosnia and Herzegovina,Up-Mid
Bulgaria,Up-Mid
Croatia,Hi
Cuba,Up-Mid
Cyprus,Hi
Eritrea,Low
Fiji,Up-Mid
Finland,Hi
Gambia,Low
Georgia,Low-Mid
Ghana,Low-Mid
Guinea-Bissau,Low
Hungary,Hi
Ireland,Hi
Israel,Hi
Jordan,Up-Mid
Kuwait,Hi
Lao People's Democratic Republic,Low-Mid
Iraq,Up-Mid
Libya,Up-Mid
Lithuania,Hi
Mali,Low
Micronesia (Federated States of),Low-Mid
Mongolia,Low-Mid
Nepal,Low
Niue,Up-Mid
Philippines,Low-Mid
Poland,Hi
Romania,Up-Mid
Samoa,Up-Mid
Senegal,Low
Singapore,Hi
Slovakia,Hi
South Africa,Up-Mid
Eswatini,Low-Mid
Sweden,Hi
Thailand,Up-Mid
Tunisia,Low-Mid
Turkey,Up-Mid
Uganda,Low
Bangladesh,Low-Mid
Bhutan,Low-Mid
Czech Republic,Hi
Iceland,Hi
India,Low-Mid
Malaysia,Up-Mid
Mozambique,Low
Nauru,Up-Mid
Spain,Hi
Tajikistan,Low
Australia,Hi
Brunei Darussalam,Hi
Cambodia,Low-Mid
China,Up-Mid
Cook Islands,Up-Mid
Italy,Hi
Kenya,Low-Mid
Kyrgyzstan,Low-Mid
Malawi,Low
Malta,Hi
Mauritius,Up-Mid
Syria,Low
Monaco,Hi
Namibia,Up-Mid
Netherlands,Hi
Nigeria,Low-Mid
Pakistan,Low-Mid
Palau,Hi
Qatar,Hi
Rwanda,Low
Sierra Leone,Low
Slovenia,Hi
Togo,Low
Turkmenistan,Up-Mid
Uzbekistan,Low-Mid
Vanuatu,Low-Mid
South Sudan,Low
