Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Algeria,Current Health Expenditure (CHE) per Capita in US$,,61,67,66,75,92,100,116,150,206,207,228,286,334,330,358,291,260,258
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,3,4,4,4,4,3,3,4,4,5,5,5,6,6,7,7,7,6
Algeria,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Algeria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,26,22,23,21,26,28,29,28,26,27,29,28,26,28,27,28,31,33
Algeria,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,3,3,3,3,3,2,2,3,3,4,4,4,4,4,5,5,4,4
Algeria,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,44,51,50,58,66,69,80,105,148,147,159,202,244,235,258,205,176,170
Algeria,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,17,16,16,18,26,31,37,45,58,60,70,84,90,96,100,86,84,88
Algeria,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,16,14,15,16,24,28,34,42,54,57,66,80,86,91,95,82,80,84
Algeria,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,General government expenditure ,Million NCU,"1,178,120","1,321,030","1,550,650","1,691,350","1,891,770","2,049,900","2,453,010","3,108,570","4,191,050","4,246,330","4,466,940","5,853,570","7,058,170","6,024,130","6,995,770","7,656,330","7,297,490","7,282,630"
Angola,Current Health Expenditure (CHE) per Capita in US$,,13,29,29,35,50,54,69,92,135,120,97,122,122,144,132,109,95,114
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,2,4,3,4,4,3,3,3,3,4,3,3,2,3,2,3,3,3
Angola,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,99,99,99,99,98,97,94,97,98,96,97,97,98,97,97,97,96,97
Angola,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,27,45,50,49,47,42,31,28,22,16,19,18,18,21,27,34,35,34
Angola,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,2,1,1,2,1,1,2,2,3,2,2,2,2,1,1,1,1
Angola,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,,8,13,11,14,21,24,37,54,87,81,60,79,80,89,71,51,42,53
Angola,Domestic Private Health Expenditure (PVT-D) per Capita in US$,,5,15,17,20,28,28,28,36,45,34,33,40,40,51,56,54,50,58
Angola,Out-of-Pocket Expenditure (OOPS) per Capita in US$,,4,13,14,17,23,23,21,26,29,19,19,22,22,31,35,36,34,39
Angola,General government expenditure ,Million NCU,"45,484","82,661","207,753","457,154","586,399","854,785","1,288,350","1,908,840","3,498,790","2,510,200","3,034,030","3,927,550","4,548,770","4,888,690","5,222,020","3,773,710","3,648,040","4,822,120"
Benin,Current Health Expenditure (CHE) per Capita in US$,,16,17,17,22,24,24,25,28,30,31,31,35,39,36,34,31,30,31
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
Benin,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,83,83,82,80,80,80,80,75,74,78,74,74,64,75,71,66,70,81
Benin,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),,52,50,53,53,51,51,51,49,47,46,45,44,37,42,44,40,43,45
Benin,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
